title,address,floor,fee,management_fee,deposit,gratuity,madori,menseki
ブライズ神田岩本町,東京都千代田区岩本町２,"
											8階",11.9万円,14000円,-,11.9万円,1DK,34.99m2
ブライズ神田岩本町,東京都千代田区岩本町２,"
											15階",22.4万円,16000円,22.4万円,22.4万円,2LDK,66m2
KWレジデンス麹町,東京都千代田区麹町３,"
											6階",16.2万円,15000円,16.2万円,16.2万円,1K,33.1m2
KWレジデンス麹町,東京都千代田区麹町３,"
											5階",22.9万円,20000円,22.9万円,-,1LDK,50.56m2
KWレジデンス麹町,東京都千代田区麹町３,"
											10階",53.2万円,20000円,53.2万円,53.2万円,2LDK,82.71m2
KWレジデンス麹町,東京都千代田区麹町３,"
											12階",53.3万円,20000円,53.3万円,53.3万円,2LDK,82.71m2
ザ・パークハウス麹町テラス,東京都千代田区麹町３,"
											7階",35万円,50000円,70万円,35万円,2LDK,55.68m2
東京メトロ半蔵門線 半蔵門駅 12階建 築19年,東京都千代田区麹町３,"
											2階",28.2万円,15000円,-,28.2万円,1LDK,59.39m2
東京メトロ半蔵門線 半蔵門駅 12階建 築19年,東京都千代田区麹町３,"
											4階",28.3万円,15000円,-,-,1LDK,59.39m2
東京メトロ半蔵門線 半蔵門駅 12階建 築19年,東京都千代田区麹町３,"
											6階",28.5万円,15000円,-,-,1LDK,62.24m2
東京メトロ半蔵門線 半蔵門駅 12階建 築19年,東京都千代田区麹町３,"
											2階",29.5万円,15000円,-,-,1LDK,59.39m2
東京メトロ半蔵門線 半蔵門駅 12階建 築19年,東京都千代田区麹町３,"
											11階",31.5万円,15000円,-,-,2LDK,59.39m2
東京メトロ半蔵門線 半蔵門駅 12階建 築19年,東京都千代田区麹町３,"
											11階",31.5万円,15000円,-,-,2LDK,59.39m2
東京メトロ半蔵門線 半蔵門駅 12階建 築19年,東京都千代田区麹町３,"
											12階",32.5万円,15000円,-,-,2LDK,59.39m2
フォーシーズンズグランデ一番町,東京都千代田区一番町,"
											8階",46万円,45000円,92万円,46万円,2LDK,87.68m2
フォーシーズンズグランデ一番町,東京都千代田区一番町,"
											8階",46万円,45000円,92万円,46万円,2LDK,87.68m2
フォーシーズンズグランデ一番町,東京都千代田区一番町,"
											8階",46万円,45000円,92万円,46万円,2LDK,87.68m2
フォーシーズンズグランデ一番町,東京都千代田区一番町,"
											8階",46万円,45000円,92万円,46万円,2LDK,87.68m2
フォーシーズンズグランデ一番町,東京都千代田区一番町,"
											8階",46万円,45000円,92万円,46万円,2LDK,83.55m2
グレイスコート岩本町,東京都千代田区岩本町１,"
											8階",14.2万円,10000円,-,-,ワンルーム,30.01m2
グレイスコート岩本町,東京都千代田区岩本町１,"
											9階",14.3万円,10000円,-,-,ワンルーム,30.01m2
グレイスコート岩本町,東京都千代田区岩本町１,"
											5階",18.1万円,15000円,-,-,1LDK,41.16m2
グレイスコート岩本町,東京都千代田区岩本町１,"
											8階",18.4万円,15000円,-,-,1LDK,41.16m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											2階",13.3万円,9000円,13.3万円,13.3万円,ワンルーム,26.86m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											2階",13.3万円,10000円,13.3万円,13.3万円,ワンルーム,26.86m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											3階",13.4万円,9000円,13.4万円,13.4万円,ワンルーム,26.86m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											3階",13.4万円,10000円,-,13.4万円,ワンルーム,26.86m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											4階",13.5万円,9000円,13.5万円,13.5万円,ワンルーム,26.86m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											4階",13.5万円,10000円,-,13.5万円,ワンルーム,26.86m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											5階",13.6万円,9000円,13.6万円,13.6万円,ワンルーム,26.86m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											5階",13.6万円,10000円,-,13.6万円,ワンルーム,26.86m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											6階",13.7万円,9000円,13.7万円,13.7万円,ワンルーム,26.86m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											6階",13.7万円,10000円,-,13.7万円,ワンルーム,26.86m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											7階",13.8万円,9000円,13.8万円,13.8万円,ワンルーム,26.86m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											7階",13.8万円,10000円,-,13.8万円,ワンルーム,26.86m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											8階",13.9万円,9000円,13.9万円,13.9万円,ワンルーム,26.86m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											2階",14.3万円,9000円,14.3万円,14.3万円,1K,30.23m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											2階",14.3万円,10000円,14.3万円,14.3万円,1K,30.02m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											3階",14.5万円,9000円,14.5万円,14.5万円,1K,30.23m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											4階",14.6万円,9000円,14.6万円,14.6万円,1K,30.23m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											5階",14.7万円,9000円,14.7万円,14.7万円,1K,30.23m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											4階",14.6万円,10000円,14.6万円,14.6万円,1K,30.02m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											6階",14.8万円,9000円,14.8万円,14.8万円,1K,30.23m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											5階",14.7万円,10000円,14.7万円,14.7万円,1K,30.23m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											7階",14.9万円,9000円,14.9万円,14.9万円,1K,30.23m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											8階",15万円,9000円,15万円,15万円,1K,30.23m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											8階",15万円,10000円,15万円,15万円,1K,30.2m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											2階",19.4万円,11000円,19.4万円,19.4万円,1LDK,40m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											2階",19.4万円,12000円,19.4万円,19.4万円,1LDK,40.28m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											3階",19.5万円,11000円,19.5万円,19.5万円,1LDK,40m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											3階",19.5万円,12000円,-,19.5万円,1LDK,40m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											4階",19.6万円,11000円,19.6万円,19.6万円,1LDK,40m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											4階",19.6万円,12000円,-,19.6万円,1LDK,40m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											8階",19.6万円,12000円,19.6万円,19.6万円,1LDK,40m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											5階",19.7万円,11000円,19.7万円,19.7万円,1LDK,40m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											5階",19.7万円,12000円,-,19.7万円,1LDK,40m2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,"
											6階",19.8万円,11000円,19.8万円,19.8万円,1LDK,40m2
